Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libcolord2 |	GPL-2.0+, LGPL-2.1+	|ubuntu.com|	Different files are licensed differently. For example: Files: lib/colord/* are under LGPL-2.1+ and so on|	http://changelogs.ubuntu.com/changelogs/pool/main/c/colord/colord_1.2.12-1ubuntu1/copyright|
libdrm2 |	MIT	|openhub.net|	NA|	https://www.openhub.net/p/libdrm|
libdrm-amdgpu1 |	Open Source	|ubuntu.com|	No clear-cut licensing information|	http://changelogs.ubuntu.com/changelogs/pool/main/libd/libdrm/libdrm_2.4.67-1/copyright|
libdrm-nouveau2 |	MIT	|openhub.net|	NA|	https://www.openhub.net/p/libdrm|
libdrm-radeon1 |	MIT	|openhub.net|	NA|	https://www.openhub.net/p/libdrm|
libelf1 |	GPL-2.0+, GPL-3.0+, LGPL-3.0+	|openhub.net|	NA|	https://www.openhub.net/p/elfutils|
libglib2.0-data |	LGPL-2.0	|NA|	part of glib2|	NA|
libgstreamer1.0-0 |	 LGPL-2+, GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/g/gstreamer1.0/gstreamer1.0_1.8.0-1/copyright|
libgstreamer-plugins-base1.0-0 |	LGPL-2+,BSD-3-Clause	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/g/gst-plugins-base1.0/gst-plugins-base1.0_1.8.2-1ubuntu0.2/copyright|
libgtk-3-0 |	LGPL-2.1+	|openhub.net|	NA|	https://www.openhub.net/p/gtk|
libgtk-3-bin |	LGPL-2.1+	|openhub.net|	NA|	https://www.openhub.net/p/gtk|
libgtk-3-common |	LGPL-2.1+	|openhub.net|	NA|	https://www.openhub.net/p/gtk|
libgudev-1.0-0 |	LGPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libg/libgudev/libgudev_230-2/copyright|
libjpeg8 |	Independent JPEG	|NA|	part of libjpeg|	NA|
libjs-inherits |	ISC	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/libjs-inherits/filelist|
liblcms2-2 |	MIT,GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/l/lcms2/lcms2_2.6-3ubuntu2/copyright|
libmpdec2 |	BSD, GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/m/mpdecimal/mpdecimal_2.4.2-1/copyright|
liborc-0.4-0 |	Apache-2.0	|NA|	part of orc|	NA|
libpipeline1 |	GPL-3	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libp/libpipeline/libpipeline_1.4.1-2/copyright|
libpython3-stdlib |	GPL,Python 2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/p/python3-defaults/python3-defaults_3.5.1-3/copyright|
libqt5core5a |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
libqt5dbus5 |	LGPL-2.1	|NA|	part of qt  library (ver. 5.x)|	NA|
